assumed_placeholder_mtbf_days,lambda_known_per_day,lambda_placeholder_total_per_day,lambda_system_per_day,R_turbine,Q_turbine,t_days
9754.2,0.0012057597638850616,0.0006151172893136403,0.0018208770531987018,0.03602450630761884,0.9639754936923811,1825.25
10084.7,0.0012057597638850616,0.0005949579831932774,0.001800717747078339,0.037374745081562855,0.9626252549184371,1825.25
10415.3,0.0012057597638850616,0.0005760781122864118,0.0017818378761714734,0.03868514574596321,0.9613148542540368,1825.25
10745.8,0.0012057597638850616,0.0005583596214511041,0.0017641193853361657,0.039956700124251746,0.9600432998757482,1825.25
11076.3,0.0012057597638850616,0.000541698546289212,0.0017474583101742735,0.04119047327122849,0.9588095267287715,1825.25
11406.8,0.0012057597638850616,0.0005260029717682022,0.0017317627356532638,0.04238757792013377,0.9576124220798662,1825.25
11737.3,0.0012057597638850616,0.0005111913357400722,0.0017169510996251336,0.04354915431480479,0.9564508456851952,1825.25
12067.8,0.0012057597638850616,0.0004971910112359551,0.0017029507751210168,0.04467635437205938,0.9553236456279406,1825.25
12398.3,0.0012057597638850616,0.0004839371155160629,0.0016896968794011245,0.0457703293250166,0.9542296706749834,1825.25
12728.8,0.0012057597638850616,0.00047137150466045275,0.0016771312685455143,0.046832220163365,0.953167779836635,1825.25
13059.3,0.0012057597638850616,0.00045944192083062946,0.001665201684715691,0.047863150319452305,0.9521368496805477,1825.25
13389.8,0.0012057597638850616,0.00044810126582278486,0.0016538610297078464,0.04886422015586357,0.9511357798441364,1825.25
13720.3,0.0012057597638850616,0.00043730697961704763,0.0016430667435021092,0.049836502896033336,0.9501634971039666,1825.25
14050.8,0.0012057597638850616,0.0004270205066344994,0.001632780270519561,0.05078104170854656,0.9492189582914534,1825.25
14381.4,0.0012057597638850616,0.0004172068355922216,0.0016229665994772831,0.05169884771144555,0.9483011522885545,1825.25
14711.9,0.0012057597638850616,0.00040783410138248854,0.00161359386526755,0.05259089870773865,0.9474091012922613,1825.25
15042.4,0.0012057597638850616,0.00039887323943661973,0.0016046330033216813,0.05345813849952943,0.9465418615004706,1825.25
15372.9,0.0012057597638850616,0.00039029768467475196,0.0015960574485598135,0.05430147665745176,0.9456985233425482,1825.25
15703.4,0.0012057597638850616,0.0003820831084727469,0.0015878428723578085,0.05512178864577128,0.9448782113542287,1825.25
16033.9,0.0012057597638850616,0.00037420718816067654,0.0015799669520457382,0.055919916222681464,0.9440800837773186,1825.25
16364.4,0.0012057597638850616,0.000366649404453651,0.0015724091683387126,0.05669666805085973,0.9433033319491403,1825.25
16694.9,0.0012057597638850616,0.0003593908629441625,0.0015651506268292241,0.05745282046595025,0.9425471795340498,1825.25
17025.4,0.0012057597638850616,0.0003524141363862618,0.0015581739002713234,0.058189118360872066,0.941810881639128,1825.25
17355.9,0.0012057597638850616,0.00034570312500000004,0.0015514628888850617,0.05890627615215967,0.9410937238478403,1825.25
17686.4,0.0012057597638850616,0.00033924293243890757,0.0015450026963239692,0.0596049788012976,0.9403950211987024,1825.25
18016.9,0.0012057597638850616,0.0003330197554092192,0.0015387795192942809,0.06028588286949729,0.9397141171305027,1825.25
